"Title","Album","Year","Popularity","Duration","Key","Mode","Tempo","Time_signature","Valence","Danceability","Energy","Loudness","Acousticness","Instrumentalness","Liveness","Speechiness","Songwriter.s.","Lead.vocal.s.","Genre","Styles","Period","titulo_tratado"
"Julia","The Beatles",1968,57,174,2,1,134.706,4,0.193,0.512,0.0953,-16.082,0.828,0.000268,0.117,0.0304,"Lennon","Lennon","Folk, Pop/Rock","Contemporary Pop/Rock, Early Pop/Rock, Singer/Songwriter","late","julia"
"Kansas City / Hey, Hey, Hey, Hey","Beatles For Sale",1964,47,163,7,1,131.36,4,0.924,0.588,0.724,-6.63,0.614,8.92e-05,0.877,0.0335,"Leiber / Stoller / Penniman","McCartney","R&B, Rock and Roll, Pop/Rock","British Invasion, Merseybeat, Contemporary Pop/Rock, Early Pop/Rock","early","kansas city  hey hey hey hey"
"Let It Be","Let It Be",1969,81,243,0,1,143.462,4,0.41,0.443,0.403,-8.339,0.631,0,0.111,0.0322,"McCartney","McCartney","Rock, Gospel, Pop/Rock","Album Rock, Contemporary Pop/Rock, Early Pop/Rock, Rock & Roll, Singer/Songwriter","late","let it be"
"Little Child","With The Beatles",1963,46,108,9,1,75.596,4,0.886,0.526,0.858,-8.533,0.292,0.001,0.353,0.0476,"Lennon / McCartney","Lennon and McCartney","Rock and Roll, Pop/Rock","British Invasion, Contemporary Pop/Rock, Early Pop/Rock, Merseybeat, Rock & Roll","early","little child"
"Long, Long, Long","The Beatles",1968,52,184,5,1,104.837,3,0.163,0.349,0.129,-15.883,0.539,0.405,0.192,0.0294,"Harrison","Harrison","Psychedelic Folk, Pop/Rock","Contemporary Pop/Rock, Early Pop/Rock, Album Rock","late","long long long"
"Love Me Do","Please Please Me",1962,71,142,0,1,147.997,4,0.744,0.52,0.829,-6.228,0.386,6.2e-05,0.227,0.0806,"Lennon / McCartney","McCartney, with Lennon","Merseybeat, R&B, Pop/Rock","British Invasion, Early Pop/Rock, Merseybeat, Contemporary Pop/Rock, Rock & Roll","early","love me do"
"Love You to","Revolver",1966,53,181,5,1,123.986,4,0.707,0.391,0.593,-8.999,0.7,0.000249,0.0829,0.0413,"Harrison","Harrison","Indian Music, Raga Rock","British Psychedelia, Psychedelic/Garage, British Invasion, Contemporary Pop/Rock","middle","love you to"
"Lovely Rita","Sgt. Pepper's Lonely Hearts Club Band",1967,56,162,8,0,87.379,4,0.63,0.61,0.471,-9.151,0.0634,0,0.118,0.0261,"McCartney","McCartney","Psychedelic Folk, Music Hall, Pop/Rock","British Psychedelia, Contemporary Pop/Rock, Early Pop/Rock, Psychedelic/Garage, Rock & Roll","middle","lovely rita"
"Lucy in the Sky with Diamonds","Sgt. Pepper's Lonely Hearts Club Band",1967,70,208,2,1,65.09,1,0.668,0.311,0.325,-9.042,0.0469,0,0.139,0.0283,"Lennon / McCartney","Lennon","Psychedelic Rock, Pop/Rock","British Psychedelia, Contemporary Pop/Rock, Early Pop/Rock, Psychedelic/Garage, Rock & Roll","middle","lucy in the sky with diamonds"
"Maggie Mae","Let It Be",1969,51,40,2,0,169.039,4,0.524,0.516,0.515,-12.035,0.379,0,0.103,0.215,"Lennon / McCartney / Harrison / Starkey","Lennon","Skiffle, Pop/Rock","Alternative/Indie Rock, Britpop, Country-Rock","late","maggie mae"
"Magical Mystery Tour","Magical Mystery Tour",1967,56,171,9,1,170.962,4,0.338,0.297,0.613,-9.065,0.0385,3.98e-05,0.0734,0.0931,"Lennon / McCartney","McCartney","Psychedelic Rock, Pop/Rock","British Psychedelia, Contemporary Pop/Rock, Early Pop/Rock, Psychedelic/Garage","middle","magical mystery tour"
"Martha My Dear","The Beatles",1968,56,148,10,1,177.624,4,0.824,0.472,0.292,-11.591,0.872,7e-04,0.128,0.0321,"McCartney","McCartney","Music Hall, Pop/Rock","Baroque Pop, Contemporary Pop/Rock, Early Pop/Rock","late","martha my dear"
"Maxwell's Silver Hammer","Abbey Road",1969,61,207,2,1,131.12,4,0.726,0.764,0.426,-11.045,0.629,0.000119,0.132,0.0405,"McCartney","McCartney","Rock, Music Hall, Pop/Rock","Album Rock, Contemporary Pop/Rock, Early Pop/Rock, Prog-Rock","late","maxwells silver hammer"
